"pharynx","pharyngectomy"
"tongue","glossectomy"
"appendix","appendectomy"
"duodenum","duodenectomy"
"thymus","thymectomy"
"stomach","gastrectomy"
"hypophysis","hypophysectomy"
"liver","hepatectomy"
"spleen","splenectomy"
"gonads","orchiectomy"
"esophagus","esophagectomy"
"penis","penectomy"
"lung","pneumonectomy"
"gallbladder","cholecystectomy"
"breasts","mastectomy"
"pancreas","pancreatectomy"
"thyroid","thyroidectomy"
"colon","colectomy"
"mastoid","mastoidectomy"
"uterus","hysterectomy"
"kidney","nephrectomy"
"maxilla","maxillectomy"
"bladder","cystectomy"
"prostate","prostatectomy"
"adenoids","adenoidectomy"
"larynx","laryngectomy"
"pericardium","pericardiectomy"
"ovaries","oophorectomy"
"mandible","mandibulectomy"
"tonsil","tonsillectomy"
