"thromboembolism","fibrillation"
"arthritis","cirrhosis"
"thromboembolism","dyspnea"
"goiter","vasculitis"
"headache","tylenol"
"tuberculosis","clubbing"
"methadone","ultram"
"virilization","drooling"
"diabetes","psoriasis"
"hyperemesis","carboplatin"
"rales","cyanosis"
"lipitor","zocor"
"proteinuria","lisinopril"
"reticulocytosis","aspirin"
"cefaclor","cefoxitin"
"hemicrania","nitroglycerine"
"heartburn","motrin"
"mannitol","tylenol"
"cataracts","diabetes"
"acetylcysteine","adenosine"
"ataxia","constipation"
"glaucoma","fibrillation"
"leukopenia","bleomycin"
"bandemia","meningism"
"torticollis","spasm"
"neuropathy","insulin"
"snoring","welts"
"flatulence","halitosis"
"cirrhosis","hematemesis"
"comatose","hepatitis"
"anovulation","carboplatin"
"brucellosis","zoonosis"
"thirsty","hunger"
"colitis","epilepsy"
"diabetes","polyuria"
"fibrillation","halitosis"
"pancreatitis","cataract"
"rheumatism","prednisolone"
"hyperextension","bacitracin"
"dehydration","syncope"
"hernias","earache"
"encephalitis","meningitis"
"diabetes","polydipsia"
"toothache","ataxia"
"arthralgia","chyluria"
"arthritis","rheumatism"
"alcohol","antabuse"
"rales","hyperacusis"
"hepatitis","tylenol"
"erythromycin","allopurinol"
"nystagmus","incontinence"
"dyslipidemia","angina"
"pneumoniae","weakness"
"giardiasis","avitaminosis"
"dizziness","ethanol"
"hypothyroidism","tiredness"
"spasm","opisthotonus"
"thromboembolism","syncope"
"hernia","goiter"
"seizures","insulin"
"candidiasis","mycosis"
"aneurysm","osteoporosis"
"anosmia","catch"
"atherosclerosis","toothache"
"hunger","starvation"
"anovulation","mittelschmerz"
"hyperthyroidism","osteoporosis"
"pancreatitis","insulin"
"hyperacusis","aphonia"
"smallpox","vaccinia"
"hepatitis","cirrhosis"
"ketonuria","chyluria"
"uremia","aspirin"
"polyuria","ketonuria"
"nocturia","bacitracin"
"arthralgia","clubbing"
"hepatomegaly","hepatosplenomegaly"
"cardiomyopathies","syncope"
"pneumoniae","dyspnea"
"pallor","iron"
"infertility","anovulation"
"glomerulosclerosis","proteinuria"
"dyspnea","agitation"
"mycosis","carboplatin"
"meningitis","meningism"
"atherosclerosis","influenzae"
"cirrhosis","methotrexate"
"cataracts","insulin"
"zoonosis","babesiosis"
"dizziness","vertigo"
"starvation","anorexia"
"pallor","blanching"
"blepharospasm","bedwetting"
"atenolol","toprol"
"myopathy","trembling"
"mittelschmerz","toothache"
"psoriasis","spasm"
"fibrillation","atenolol"
"epilepsy","anosmia"
"arthritis","arthralgia"
"giardiasis","mannerism"
"ataxia","ethanol"
"thrombocytopenia","heartburn"
"gastroenteritis","insulin"
"dyslipidemia","iron"
"lipitor","lovastatin"
"headache","flushing"
"coccidioidomycosis","histoplasmosis"
"starvation","mittelschmerz"
"comatose","hyperglycemia"
"allergy","bacitracin"
"arthritis","metatarsalgia"
"arteriosclerosis","cholestyramine"
"osteoporosis","thrombus"
"goiter","scleroderma"
"hemicrania","tylenol"
"uremia","hypersomnolence"
"cataracts","wheezing"
"thrombocytopenia","arthritis"
"metatarsalgia","colchicine"
"tiredness","atenolol"
"hypothyroidism","comatose"
"convulsion","epilepsy"
"clubbing","dyspnea"
"thromboembolism","heparin"
"carboplatin","cisplatin"
"seizures","dilantin"
"influenza","pneumoniae"
"aphonia","mittelschmerz"
"erythema","dilantin"
"hemochromatosis","anosmia"
"hepatitis","hematemesis"
"epilepsy","ischemia"
"rheumatism","colchicine"
"thromboembolism","hemoptysis"
"parasitemia","malaria"
"metatarsalgia","toothache"
"mycosis","histoplasmosis"
"sleeplessness","agitation"
"nephritis","pyorrhea"
"hypothyroidism","weakness"
"regurgitation","heartburn"
"avitaminosis","starvation"
"cirrhosis","anemia"
"cardiomyopathy","rales"
"heparin","protamine"
"epilepsy","phenobarbital"
"anoxia","propofol"
"convulsion","ethanol"
"dermatomyositis","myopathy"
"mastodynia","earache"
"diabetes","hyperglycemia"
"hemochromatosis","arthralgia"
"hemoptysis","protamine"
"infertility","carboplatin"
"septicemia","dyspnea"
"dyslipidemia","constipation"
"colchicine","probenecid"
"thalassemia","iron"
"rhonchi","rales"
"herpes","hyperthyroidism"
"cardiomyopathy","tylenol"
"zoonosis","plague"
"weakness","paresis"
"overeating","malnutrition"
"psoriasis","meningism"
"comatose","anoxia"
"polyuria","insulin"
"pneumonia","cyanosis"
"cirrhosis","hemochromatosis"
"fibrillation","calamine"
"diabetes","insulin"
"bandemia","nausea"
"anoxia","ataxia"
"pallor","weakness"
"histoplasmosis","prednisolone"
"pallor","albumin"
"thalassemia","tremor"
