"pancreatitis","insulin"
"mittelschmerz","toothache"
"diabetes","polydipsia"
"thromboembolism","fibrillation"
"fibrillation","halitosis"
"myelosuppression","snoring"
"epilepsy","hepatomegaly"
"mycosis","histoplasmosis"
"vasculitis","hemiplegia"
"hemiplegia","headache"
"pneumoniae","dyspnea"
"arthralgia","chyluria"
"ataxia","ethanol"
"esmolol","amiodarone"
"peritonitis","ataxia"
"obesity","snoring"
"rheumatism","tylenol"
"zoonosis","plague"
"coccidioidomycosis","histoplasmosis"
"brucellosis","zoonosis"
"syphilis","penicillin"
"pneumonia","cyanosis"
"nocturia","bacitracin"
"polyuria","chyluria"
"earache","crowning"
"dyslipidemia","activase"
"pain","morphine"
"snoring","welts"
"nephritis","pyorrhea"
"asthma","urolithiasis"
"plague","adenitis"
"osteoporosis","prednisolone"
"hypothyroidism","infertility"
"reticulocytosis","aspirin"
"photosensitization","dermatitis"
"fibrillation","atenolol"
"metatarsalgia","colchicine"
"meningism","hyperesthesia"
"allergy","bacitracin"
"erythromycin","lidocaine"
"influenzae","amantadine"
"angina","diarrhea"
"hemochromatosis","arthralgia"
"rales","hyperacusis"
"avitaminosis","starvation"
"flushing","iron"
"agranulocytosis","anemia"
"allopurinol","colchicine"
"starvation","cisplatin"
"heartburn","motrin"
"lipitor","zocor"
"anovulation","mittelschmerz"
"uremia","pyorrhea"
"hepatitis","cirrhosis"
"syphilis","gonorrhea"
"pallor","blanching"
"plague","cholestyramine"
"regurgitation","heartburn"
"arthralgia","neuralgia"
"cromolyn","prednisolone"
"diabetes","polyuria"
"pallor","albumin"
"comatose","hepatitis"
"glomerulosclerosis","proteinuria"
"tiredness","atenolol"
"rheumatism","colchicine"
"alcohol","antabuse"
"lipitor","lovastatin"
"nitroglycerine","toprol"
"dyslipidemia","angina"
"neuropathy","diabetes"
"psoriasis","atherosclerosis"
"arthritis","arthralgia"
"hemoglobinopathy","pain"
"reticulocytosis","hematemesis"
"constipation","diarrhea"
"atherosclerosis","angina"
"diabetes","hyperglycemia"
"anovulation","carboplatin"
"earache","hyperacusis"
"arthritis","cirrhosis"
"seizures","insulin"
"aneurysm","osteoporosis"
"cataracts","wheezing"
"atenolol","lasix"
"gastroenteritis","insulin"
"giardiasis","avitaminosis"
"mastodynia","earache"
"dermatitis","allergy"
"hypothyroidism","weakness"
"thirsty","hunger"
"hemicrania","headache"
"dyslipidemia","constipation"
"hemochromatosis","arthritis"
"cluttering","nitroglycerine"
"angina","corkscrewing"
"infertility","blepharospasm"
"goiter","vasculitis"
"pneumoniae","septicemia"
"anoxia","seizures"
"dyslipidemia","cholestyramine"
"epilepsy","ischemia"
"hemicrania","nitroglycerine"
"nausea","vomiting"
"arthralgia","clubbing"
"iron","iron"
"diarrhea","cefaclor"
"syphilis","dementias"
"clubbing","dyspnea"
"cataracts","diabetes"
"anosmia","constipation"
"infertility","fibrillation"
"thalassemia","hemoglobinopathy"
"candidiasis","mycosis"
"arthritis","metatarsalgia"
"cardiomyopathy","rales"
"sluggishness","fatigue"
"gastroenteritis","cromolyn"
"cirrhosis","methotrexate"
"cortisone","adenosine"
"dehydration","starvation"
"cirrhosis","hemochromatosis"
"methadone","ultram"
"hypothyroidism","comatose"
"tiredness","calan"
"colchicine","probenecid"
"hemoptysis","protamine"
"colitis","epilepsy"
"heparin","protamine"
"gastroenteritis","dysentery"
"polyuria","ketonuria"
"ketonuria","chyluria"
"adenitis","stridor"
"glaucoma","fibrillation"
"hunger","starvation"
"diabetes","insulin"
"thromboembolism","dyspnea"
"leukopenia","cefaclor"
"hyperextension","hunger"
"hepatitis","tylenol"
"medrol","prednisolone"
"anemia","reticulocytosis"
"dysentery","esmolol"
"atherosclerosis","influenzae"
"psoriasis","meningism"
"deafness","ataxia"
"rales","cyanosis"
"seizures","calamine"
"coumadin","aspirin"
"polyuria","insulin"
"osteoporosis","thrombus"
"anoxia","propofol"
"cardiomyopathy","tylenol"
"mycosis","carboplatin"
"dyspnea","cyanosis"
"leukopenia","penicillin"
"dehydration","dysentery"
