Mean,Term1,Term2
100.0,pharynx,pharyngectomy
100.0,tongue,glossectomy
100.0,appendix,appendectomy
100.0,duodenum,duodenectomy
100.0,thymus,thymectomy
100.0,stomach,gastrectomy
100.0,hypophysis,hypophysectomy
100.0,liver,hepatectomy
100.0,spleen,splenectomy
100.0,gonads,orchiectomy
100.0,esophagus,esophagectomy
100.0,penis,penectomy
100.0,lung,pneumonectomy
100.0,gallbladder,cholecystectomy
100.0,breasts,mastectomy
100.0,pancreas,pancreatectomy
100.0,thyroid,thyroidectomy
100.0,colon,colectomy
100.0,mastoid,mastoidectomy
100.0,uterus,hysterectomy
100.0,kidney,nephrectomy
100.0,maxilla,maxillectomy
100.0,bladder,cystectomy
100.0,prostate,prostatectomy
100.0,adenoids,adenoidectomy
100.0,larynx,laryngectomy
100.0,pericardium,pericardiectomy
100.0,ovaries,oophorectomy
100.0,mandible,mandibulectomy
100.0,tonsil,tonsillectomy
