Mean,Term1,Term2
100.0,thromboembolism,fibrillation
100.0,arthritis,cirrhosis
100.0,thromboembolism,dyspnea
100.0,goiter,vasculitis
100.0,headache,tylenol
100.0,tuberculosis,clubbing
100.0,methadone,ultram
100.0,virilization,drooling
100.0,diabetes,psoriasis
100.0,hyperemesis,carboplatin
100.0,rales,cyanosis
100.0,lipitor,zocor
100.0,proteinuria,lisinopril
100.0,reticulocytosis,aspirin
100.0,cefaclor,cefoxitin
100.0,hemicrania,nitroglycerine
100.0,heartburn,motrin
100.0,mannitol,tylenol
100.0,cataracts,diabetes
100.0,acetylcysteine,adenosine
100.0,ataxia,constipation
100.0,glaucoma,fibrillation
100.0,leukopenia,bleomycin
100.0,bandemia,meningism
100.0,torticollis,spasm
100.0,neuropathy,insulin
100.0,snoring,welts
100.0,flatulence,halitosis
100.0,cirrhosis,hematemesis
100.0,comatose,hepatitis
100.0,anovulation,carboplatin
100.0,brucellosis,zoonosis
100.0,thirsty,hunger
100.0,colitis,epilepsy
100.0,diabetes,polyuria
100.0,fibrillation,halitosis
100.0,pancreatitis,cataract
100.0,rheumatism,prednisolone
100.0,hyperextension,bacitracin
100.0,dehydration,syncope
100.0,hernias,earache
100.0,encephalitis,meningitis
100.0,diabetes,polydipsia
100.0,toothache,ataxia
100.0,arthralgia,chyluria
100.0,arthritis,rheumatism
100.0,alcohol,antabuse
100.0,rales,hyperacusis
100.0,hepatitis,tylenol
100.0,erythromycin,allopurinol
100.0,nystagmus,incontinence
100.0,dyslipidemia,angina
100.0,pneumoniae,weakness
100.0,giardiasis,avitaminosis
100.0,dizziness,ethanol
100.0,hypothyroidism,tiredness
100.0,spasm,opisthotonus
100.0,thromboembolism,syncope
100.0,hernia,goiter
100.0,seizures,insulin
100.0,candidiasis,mycosis
100.0,aneurysm,osteoporosis
100.0,anosmia,catch
100.0,atherosclerosis,toothache
100.0,hunger,starvation
100.0,anovulation,mittelschmerz
100.0,hyperthyroidism,osteoporosis
100.0,pancreatitis,insulin
100.0,hyperacusis,aphonia
100.0,smallpox,vaccinia
100.0,hepatitis,cirrhosis
100.0,ketonuria,chyluria
100.0,uremia,aspirin
100.0,polyuria,ketonuria
100.0,nocturia,bacitracin
100.0,arthralgia,clubbing
100.0,hepatomegaly,hepatosplenomegaly
100.0,cardiomyopathies,syncope
100.0,pneumoniae,dyspnea
100.0,pallor,iron
100.0,infertility,anovulation
100.0,glomerulosclerosis,proteinuria
100.0,dyspnea,agitation
100.0,mycosis,carboplatin
100.0,meningitis,meningism
100.0,atherosclerosis,influenzae
100.0,cirrhosis,methotrexate
100.0,cataracts,insulin
100.0,zoonosis,babesiosis
100.0,dizziness,vertigo
100.0,starvation,anorexia
100.0,pallor,blanching
100.0,blepharospasm,bedwetting
100.0,atenolol,toprol
100.0,myopathy,trembling
100.0,mittelschmerz,toothache
100.0,psoriasis,spasm
100.0,fibrillation,atenolol
100.0,epilepsy,anosmia
100.0,arthritis,arthralgia
100.0,giardiasis,mannerism
100.0,ataxia,ethanol
100.0,thrombocytopenia,heartburn
100.0,gastroenteritis,insulin
100.0,dyslipidemia,iron
100.0,lipitor,lovastatin
100.0,headache,flushing
100.0,coccidioidomycosis,histoplasmosis
100.0,starvation,mittelschmerz
100.0,comatose,hyperglycemia
100.0,allergy,bacitracin
100.0,arthritis,metatarsalgia
100.0,arteriosclerosis,cholestyramine
100.0,osteoporosis,thrombus
100.0,goiter,scleroderma
100.0,hemicrania,tylenol
100.0,uremia,hypersomnolence
100.0,cataracts,wheezing
100.0,thrombocytopenia,arthritis
100.0,metatarsalgia,colchicine
100.0,tiredness,atenolol
100.0,hypothyroidism,comatose
100.0,convulsion,epilepsy
100.0,clubbing,dyspnea
100.0,thromboembolism,heparin
100.0,carboplatin,cisplatin
100.0,seizures,dilantin
100.0,influenza,pneumoniae
100.0,aphonia,mittelschmerz
100.0,erythema,dilantin
100.0,hemochromatosis,anosmia
100.0,hepatitis,hematemesis
100.0,epilepsy,ischemia
100.0,rheumatism,colchicine
100.0,thromboembolism,hemoptysis
100.0,parasitemia,malaria
100.0,metatarsalgia,toothache
100.0,mycosis,histoplasmosis
100.0,sleeplessness,agitation
100.0,nephritis,pyorrhea
100.0,hypothyroidism,weakness
100.0,regurgitation,heartburn
100.0,avitaminosis,starvation
100.0,cirrhosis,anemia
100.0,cardiomyopathy,rales
100.0,heparin,protamine
100.0,epilepsy,phenobarbital
100.0,anoxia,propofol
100.0,convulsion,ethanol
100.0,dermatomyositis,myopathy
100.0,mastodynia,earache
100.0,diabetes,hyperglycemia
100.0,hemochromatosis,arthralgia
100.0,hemoptysis,protamine
100.0,infertility,carboplatin
100.0,septicemia,dyspnea
100.0,dyslipidemia,constipation
100.0,colchicine,probenecid
100.0,thalassemia,iron
100.0,rhonchi,rales
100.0,herpes,hyperthyroidism
100.0,cardiomyopathy,tylenol
100.0,zoonosis,plague
100.0,weakness,paresis
100.0,overeating,malnutrition
100.0,psoriasis,meningism
100.0,comatose,anoxia
100.0,polyuria,insulin
100.0,pneumonia,cyanosis
100.0,cirrhosis,hemochromatosis
100.0,fibrillation,calamine
100.0,diabetes,insulin
100.0,bandemia,nausea
100.0,anoxia,ataxia
100.0,pallor,weakness
100.0,histoplasmosis,prednisolone
100.0,pallor,albumin
100.0,thalassemia,tremor
100.0,uremia,pyorrhea
100.0,hypothyroidism,infertility
100.0,fibrillation,cardiomyopathies
100.0,hemicrania,headache
100.0,hyperextension,hunger
100.0,hyperthyroidism,seizures
100.0,dyslipidemia,cholestyramine
100.0,dyslipidemia,activase
100.0,cluttering,nitroglycerine
100.0,leukopenia,cefaclor
100.0,cortisone,adenosine
100.0,reticulocytosis,hematemesis
100.0,appendicitis,cefazolin
100.0,starvation,cisplatin
100.0,dehydration,dysentery
100.0,hemoptysis,hematemesis
100.0,thalassemia,hemoglobinopathy
100.0,flushing,iron
100.0,arthralgia,tylenol
100.0,hernias,dementia
100.0,otitis,meningism
100.0,allergy,meningism
100.0,hemiplegia,headache
