Mean,Term1,Term2
443.5,thrombocytopenia,sciatica
416.25,allergy,meningism
1294.5,hepatitis,hematemesis
753.75,lisinopril,altace
1243.5,ketonuria,insulin
839.0,rales,cyanosis
837.25,methadone,ultram
1303.75,schistosomiasis,parasitemia
1187.0,cirrhosis,anemia
1208.5,anosmia,aphonia
669.0,cluttering,mannerism
804.0,peritonitis,grimaces
1363.25,ketonuria,starvation
1230.25,agranulocytosis,myelosuppression
1309.5,hypothyroidism,tiredness
680.5,adenitis,stridor
1350.25,rhonchi,rales
444.75,anoxia,ataxia
417.25,cardiomyopathy,tylenol
664.0,dyspnea,penicillin
1126.0,nitroglycerine,morphine
857.25,hemochromatosis,arthritis
1157.0,dysentery,dizziness
1168.5,photopsia,headache
565.75,urolithiasis,amyloidosis
1462.75,pain,morphine
361.0,cataracts,epilepsy
829.5,allergy,bacitracin
958.5,mycosis,pain
499.25,cataracts,wheezing
1249.0,thirsty,hunger
895.5,atenolol,lasix
543.25,ataxia,constipation
1436.0,lipitor,zocor
673.75,flushing,iron
509.25,thrombocytopenia,heartburn
1210.5,hemicrania,headache
1248.0,fibrillation,angina
846.75,hyperacusis,aphonia
1459.5,diabetes,polydipsia
345.5,pancreatitis,cataract
252.25,allergy,torticollis
1285.0,anoxia,seizures
1168.75,psoriasis,arthritis
695.75,esmolol,amiodarone
1287.25,cardiomyopathy,angina
470.0,psoriasis,meningism
582.25,dementias,psoriasis
416.0,atherosclerosis,influenzae
1054.75,pancreatitis,insulin
371.5,dyslipidemia,iron
431.25,anosmia,catch
1135.25,epilepsy,phenobarbital
1277.0,arthralgia,tylenol
899.25,hemochromatosis,arthralgia
616.25,nystagmus,incontinence
1308.25,heartburn,motrin
474.25,hyperextension,bacitracin
959.5,flumazenil,valium
1433.25,polyuria,ketonuria
1199.25,thalassemia,iron
1187.0,anemia,reticulocytosis
578.5,goiter,scleroderma
226.75,giardiasis,mannerism
873.0,flatulence,halitosis
1386.75,convulsion,epilepsy
1121.0,hyperthyroidism,seizures
379.75,hernia,goiter
321.75,psoriasis,atherosclerosis
1423.75,headache,tylenol
974.5,uremia,nausea
597.5,dextran,amphetamine
1048.25,cardiomyopathy,rales
1414.75,dyspnea,cyanosis
1263.0,appendicitis,peritonitis
1126.75,neuropathy,insulin
1253.25,paresis,paraparesis
833.5,rheumatism,sluggishness
1002.75,bandemia,meningism
845.5,hyperacusis,bleomycin
1303.25,dyslipidemia,atherosclerosis
1078.75,pneumonia,cyanosis
785.0,gastroenteritis,seizures
1329.75,lipitor,lovastatin
1226.75,thromboembolism,syncope
438.75,deafness,blepharospasm
1070.25,overeating,malnutrition
253.25,earache,crowning
409.5,rales,hyperacusis
1299.25,dehydration,dysentery
494.75,angina,activase
1325.5,thromboembolism,dyspnea
1182.25,atenolol,toprol
1306.25,convulsion,ethanol
869.5,tuberculosis,pallor
1439.75,obesity,snoring
593.25,calamine,bleomycin
1303.0,carboplatin,cisplatin
1059.0,hyperoxia,anoxia
603.75,tiredness,calan
1099.5,diabetes,prednisolone
1006.0,anovulation,mittelschmerz
1163.75,dehydration,starvation
492.75,haldol,bacitracin
657.25,torticollis,erythromycin
1470.5,exophthalmos,hyperthyroidism
