Mean,Term1,Term2
880.25,hepatitis,tylenol
889.5,appendicitis,cefazolin
1142.25,allopurinol,colchicine
892.5,thalassemia,iron
492.75,snoring,stridor
936.75,hemoptysis,coumadin
1026.5,thromboembolism,fibrillation
319.5,allergy,meningism
203.0,allergy,bacitracin
925.75,dehydration,dysentery
1174.75,lipitor,lovastatin
391.0,gastroenteritis,cromolyn
270.75,angina,diarrhea
737.0,syncope,weakness
930.75,clubbing,dyspnea
255.25,plague,cholestyramine
261.25,hyperextension,bacitracin
766.75,polyuria,insulin
1094.25,syphilis,penicillin
1029.5,dyslipidemia,lipitor
1148.75,psoriasis,arthritis
1188.0,dermatitis,allergy
817.25,fibrillation,atenolol
898.5,influenza,pneumoniae
252.0,hyperoxia,anoxia
358.0,myelosuppression,snoring
193.0,constipation,calan
1136.75,zoonosis,babesiosis
345.5,erythromycin,allopurinol
1078.75,penicillin,cefazolin
710.75,hypothyroidism,comatose
619.5,hemicrania,tylenol
642.25,angina,dyspnea
1239.25,parasitemia,malaria
633.75,pneumoniae,weakness
853.5,infertility,carboplatin
229.5,dysentery,esmolol
286.0,asthma,urolithiasis
1120.25,levaquin,avelox
337.75,bleomycin,antabuse
901.75,pallor,iron
593.25,dyspnea,agitation
237.75,hernias,dementia
227.0,calamine,bleomycin
632.0,photopsia,headache
255.5,toothache,ataxia
528.75,pallor,albumin
239.0,dyslipidemia,iron
1307.0,thalassemia,hemoglobinopathy
705.75,cardiomyopathy,rales
959.25,pneumoniae,septicemia
163.0,colitis,epilepsy
1153.25,arthritis,rheumatism
754.75,neuropathy,insulin
879.5,headache,tylenol
503.25,bandemia,nausea
142.5,herpes,hyperthyroidism
743.0,alcohol,antabuse
833.75,pneumoniae,dyspnea
537.0,tiredness,atenolol
169.5,psoriasis,atherosclerosis
505.25,hemoglobinopathy,pain
794.5,diarrhea,colchicine
351.75,gastroenteritis,insulin
617.75,dizziness,atenolol
1255.75,gastroenteritis,dysentery
1225.25,ketonuria,starvation
1031.5,isosorbide,toprol
908.25,hemoptysis,hematemesis
615.5,dysuria,cipro
566.75,epilepsy,alcohol
935.75,thirsty,hunger
1135.5,polydipsia,polyuria
940.75,epilepsy,phenobarbital
582.75,deafness,ataxia
551.0,uremia,pyorrhea
1282.5,mycosis,histoplasmosis
214.75,cortisone,adenosine
933.25,agranulocytosis,anemia
967.0,clonus,spasm
727.5,cirrhosis,anemia
845.0,anosmia,aphonia
687.5,rales,cyanosis
395.0,drooling,chills
706.25,cirrhosis,methotrexate
764.5,fibrillation,cardiomyopathies
1055.25,tiredness,hypersomnolence
384.75,rheumatism,sleeplessness
897.75,dehydration,syncope
1012.25,hematemesis,vomiting
318.5,dyslipidemia,constipation
416.25,leukopenia,penicillin
307.5,cataracts,pancreatitis
957.75,photosensitization,dermatitis
1066.0,diabetes,polyuria
536.75,meningism,hyperesthesia
962.5,thromboembolism,dyspnea
666.25,adenitis,stridor
365.75,nystagmus,incontinence
996.75,pain,morphine
869.5,cardiomyopathies,syncope
840.25,ataxia,ethanol
189.5,polyuria,chyluria
639.5,syncope,atenolol
749.5,pancreatitis,insulin
858.25,hemochromatosis,arthritis
904.75,hypothyroidism,weakness
955.0,pallor,blanching
748.0,anoxia,seizures
598.0,hypothyroidism,infertility
1052.5,encephalitis,headache
778.0,hepatitis,hematemesis
231.25,aneurysm,osteoporosis
1034.0,neuropathy,syphilis
1287.0,dizziness,vertigo
1052.25,dyspnea,cyanosis
343.0,torticollis,erythromycin
396.5,overeating,seizures
293.0,anosmia,digoxin
256.0,fibrillation,calamine
869.25,arthralgia,tylenol
477.25,neuropathy,constipation
328.5,thrombocytopenia,heartburn
274.5,anosmia,catch
332.75,seizures,insulin
975.5,mycoses,meningitis
668.0,comatose,anoxia
377.5,albumin,heparin
384.0,dyspnea,penicillin
508.75,diarrhea,cefaclor
194.0,clubbing,garlic
1240.25,hyperemesis,nausea
1019.75,bronchitis,pneumonia
977.0,dehydration,starvation
558.25,anovulation,mittelschmerz
340.5,mycosis,carboplatin
290.0,histoplasmosis,prednisolone
1037.75,encephalitis,meningitis
755.0,osteoporosis,prednisolone
1395.0,iron,iron
309.25,ataxia,constipation
223.0,mannitol,tylenol
228.0,anovulation,torticollis
1195.75,brucellosis,zoonosis
179.75,hernias,earache
631.25,tuberculosis,clubbing
662.75,anovulation,carboplatin
769.0,arthritis,metatarsalgia
652.75,cataracts,diabetes
806.0,dyslipidemia,angina
1173.0,hepatitis,cirrhosis
891.5,ketonuria,insulin
1106.5,regurgitation,heartburn
852.0,thromboembolism,hemoptysis
256.0,uremia,aspirin
776.75,bandemia,meningism
890.0,catatonia,lethargy
217.25,cataracts,wheezing
1176.75,starvation,anorexia
321.25,blepharospasm,bedwetting
391.0,cataracts,insulin
816.25,plague,adenitis
997.25,zoonosis,plague
214.25,aphonia,mittelschmerz
450.0,hemophilia,thromboembolism
841.25,glaucoma,headache
748.75,hemicrania,headache
431.75,hyperacusis,aphonia
890.0,leukopenia,bleomycin
807.5,nephritis,pyorrhea
281.75,peritonitis,ataxia
882.5,sleeplessness,agitation
510.25,arteriosclerosis,cholestyramine
222.25,psoriasis,meningism
406.75,pallor,aspirin
993.25,polyuria,ketonuria
1280.0,enalapril,lisinopril
244.25,anosmia,constipation
926.5,proteinuria,lisinopril
544.0,hemoptysis,protamine
1019.75,coumadin,aspirin
348.0,fibrillation,halitosis
835.25,convulsion,ethanol
1302.75,convulsion,epilepsy
231.5,thalassemia,tremor
775.25,rheumatism,colchicine
241.0,cardiomyopathy,tylenol
1155.25,diabetes,insulin
334.5,ketonuria,chyluria
861.5,cardiomyopathy,angina
858.0,glomerulosclerosis,proteinuria
324.75,goiter,vasculitis
430.0,erythromycin,lidocaine
856.0,cromolyn,prednisolone
265.25,comatose,cataracts
765.25,hyperemesis,carboplatin
981.25,coccidioidomycosis,histoplasmosis
1075.5,rhonchi,rales
802.25,flatulence,halitosis
565.0,comatose,hepatitis
225.25,infertility,blepharospasm
242.0,snoring,loperamide
257.75,atherosclerosis,influenzae
792.25,hyperthyroidism,seizures
1151.25,candidiasis,mycosis
477.75,anoxia,propofol
543.0,virilization,drooling
785.25,nitroglycerine,toprol
208.25,epilepsy,hepatomegaly
663.5,methadone,ultram
691.0,heparin,protamine
934.75,appendicitis,peritonitis
883.25,rheumatism,prednisolone
1142.25,obesity,diabetes
789.5,tuberculosis,hemoptysis
922.25,comatose,hyperglycemia
309.5,hemochromatosis,polyuria
256.25,acetylcysteine,adenosine
284.25,photosensitization,aphonia
1192.75,infertility,anovulation
404.25,epilepsy,anosmia
327.5,snoring,welts
893.25,dizziness,ethanol
721.5,smallpox,vaccinia
775.25,nocturia,diabetes
864.5,meningitis,meningism
316.0,erythema,tremor
1206.25,arthralgia,pain
496.75,anoxia,ataxia
984.75,avitaminosis,starvation
573.25,metatarsalgia,toothache
422.0,giardiasis,avitaminosis
322.5,chills,snoring
774.25,hemochromatosis,arthralgia
1265.5,ethanol,alcohol
1031.5,diabetes,polydipsia
1234.75,diabetes,hyperglycemia
224.5,atherosclerosis,toothache
338.0,hyperextension,hunger
919.0,influenzae,amantadine
1387.5,medrol,prednisolone
493.75,hyperthyroidism,osteoporosis
527.5,agitation,morphine
413.25,headache,flushing
346.0,infertility,fibrillation
760.25,earache,hyperacusis
382.0,hemochromatosis,anosmia
221.25,psoriasis,spasm
871.25,meningitis,tuberculosis
1273.5,carboplatin,cisplatin
792.25,metatarsalgia,colchicine
1032.0,neuropathy,diabetes
1040.25,cirrhosis,hematemesis
644.0,heartburn,motrin
706.25,snoring,ethanol
427.0,reticulocytosis,hematemesis
412.0,diabetes,psoriasis
1158.25,weakness,paresis
1103.0,myositis,myopathy
475.25,herpes,cholestasis
936.0,atherosclerosis,angina
1164.75,hepatomegaly,hepatosplenomegaly
1039.25,nausea,vomiting
298.75,hemicrania,nitroglycerine
201.0,arthralgia,chyluria
607.5,hyperacusis,bleomycin
1001.75,seizures,dilantin
1221.25,meningitis,headache
306.5,thrombocytopenia,arthritis
1098.75,colchicine,probenecid
233.75,tiredness,calan
623.25,pneumonia,cyanosis
519.75,hypoproteinemia,hunger
910.25,hepatitis,hepatomegaly
319.0,starvation,cisplatin
1132.25,syphilis,gonorrhea
394.0,goiter,scleroderma
860.0,obesity,snoring
1091.0,arthritis,arthralgia
708.25,atenolol,lasix
1134.5,hunger,starvation
956.0,cirrhosis,hemochromatosis
665.75,spasm,opisthotonus
342.0,pancreatitis,cataract
511.5,flushing,iron
764.0,hypersomnolence,snoring
648.25,cefepime,bacitracin
145.5,starvation,mittelschmerz
623.75,anemia,coumadin
666.25,angina,corkscrewing
152.75,giardiasis,mannerism
240.75,osteoporosis,thrombus
621.25,uremia,nausea
851.25,colchicine,prednisolone
434.5,septicemia,dyspnea
167.75,clubbing,constipation
763.5,arthralgia,neuralgia
219.5,cluttering,nitroglycerine
160.75,overeating,malnutrition
161.0,constipation,diarrhea
1186.5,sluggishness,fatigue
1109.5,pallor,weakness
807.5,mastodynia,earache
531.75,dyslipidemia,activase
618.5,arthritis,cirrhosis
561.5,hemiplegia,headache
468.5,erythema,dilantin
242.75,bronchitis,loperamide
190.75,seizures,calamine
1279.25,atenolol,toprol
251.25,rales,hyperacusis
353.75,nocturia,bacitracin
279.0,glaucoma,fibrillation
354.75,hernia,goiter
506.75,epilepsy,ischemia
372.5,vasculitis,convulsion
670.75,reticulocytosis,aspirin
1104.0,torticollis,spasm
1174.5,cefaclor,cefoxitin
1019.5,dermatomyositis,myopathy
657.5,uremia,hypersomnolence
567.0,otitis,meningism
295.25,osteoporosis,cardiomyopathy
